Serial,Question,Option_ক,Option_খ,Option_গ,Option_ঘ,Answer_Label,Answer_Text,Explanation
১,"১. সংখ্যায়  ব্যবহৃত  কোনো  x^2x2+xy+y^2y2  অঙ্ক  তার  অবস্থানের  জন্য  যে  সংখ্যা  প্রকাশ  করে  তাকে  কী  বলে ? [ ঢা.বো . ২০২১, কু.বো . ২০২৩ ] [ জ্ঞানমূলক ]",(x2+xy+y2x2+xy)/(y2x2+xy+y2x2+x)x^2x2+xy+y^2y2x^2x2+xyy^2y2x^2x2+xy+y^2y2x^2x2+x,m^2m2+my+y^2y2m^2m2+my+y^2y2m^2m2+my+y^2y2m^2m2,p^2p2+pq+q^2q2m^2m2+my+y^2y2m^2m2+my+y^2y2m^2m2,(z)/(e)ze+2z+5y-(p)/(e)pem^2m2+my+y^2y2m^2m2+my+y^2y2,ক,(x2+xy+y2x2+xy)/(y2x2+xy+y2x2+x)x^2x2+xy+y^2y2x^2x2+xyy^2y2x^2x2+xy+y^2y2x^2x2+x,বাংলালেখাequationnormal textequationনরমালটেক্সট
২,২ ।  সাত  অঙ্কবিশিষ্ট  কোন  সংখ্যার  ডান  দিক  থেকে  ২য়  অঙ্কের  স্থানীয়  মান  বাম  দিক  থেকে  ২য়  অঙ্কের  স্থানীয়  মানের  কতগুণ  যদি  অঙ্কদ্বয়  একই  হয় ? [ পাঠ ১.১: অঙ্কপাতন ],১০০০০০এবংসাধারণলেখা১০০০০০,১০০০০এবং সাধারণ লেখা১০০০০,(১)/(১০০০)১১০০০এবং সাধারণ লেখা১০০০০০,(১)/(১০০০০)১১০০০০এবং সাধারণ লেখা১০০০০০,ঘ,(১)/(১০০০০)১১০০০০এবং সাধারণ লেখা১০০০০০,বাংলালেখাequationnormal textequationনরমালটেক্সট
৩,৩. ৮৩০৫৬০৪০  সংখ্যাটিতে  সার্থক  অঙ্ক  কয়টি ? [ পাঠ ১.১: অঙ্কপাতন ],৪,৫,৬,৭,খ,৫,বাংলালেখাequationnormal textequationনরমালটেক্সট
৪,৪. ৩৪৫  সংখ্যাটিতে  ৫  এর  স্থানীয়মান  ও  স্বকীয়  মানের  পার্থক্য  কত ?,x^2x2+xy+y^2y2,m^2m2+my+y^2y2,p^2p2+pq+q^2q2,(z)/(e)ze+2z+5y-(p)/(e)pe,গ,p^2p2+pq+q^2q2,বাংলালেখাequationnormal textequationনরমালটেক্সট
৫,৫. কোনো  অঙ্কের  স্থান  পরিবর্তনের  ফলে  স্বকীয়  মান  কীরূপ  হয় ? [ পাঠ ১.১: অঙ্কপাতন ],পরিবর্তনহয়,বৃদ্ধিপায়,একইথাকে,হ্রাসপায়,গ,একইথাকে,বাংলালেখাequationnormal textequationনরমালটেক্সট
৬,৬. x^2x2+xy  কতটি  প্রতীক  x^2x2+xy  ব্যবহার  করা  হয় ?,২,৫,১০,১০০,গ,১০,
১৫,১৫ ।  ৬৪৪০৫৬৩১  সংখ্যাটির - অযুত  স্থানীয়  অঙ্কের  (equation)/(eq)equationeq  স্থানীয়  মান  শূন্য বাম  দিক  হতে  তৃতীয়  অঙ্কের  (equation)/(eq)equationeq স্থানীয়  মান  ডান  দিক  হতে  ৪র্থ  অঙ্কের  স্থানীয়  (equation)/(eq)equationeq  মানের  ৮০  গুণ সংখ্যাটির  অঙ্কগুলোতে  ৬টি  স্বাভাবিক  (equation)/(eq)equationeq  সংখ্যা  বিদ্যমান নিচের  কোনটি  সঠিক ?,iও ii,iওiii,iiওiii,"i, iiওiii",ক,iও ii,
১৬,১৬. পাটিগণিতে  দশটি  প্রতীকের  মধ্যে - স্বার্থক  অঙ্ক  নয়টি স্বাভাবিক  সংখ্যা  দশটি প্রতীকগুলোকে  অঙ্ক  বলা  হয় নিচের  কোনটি  সঠিক ?,iও ii,iও iii,iiও iii,"i, ii ওiii",খ,iও iii,
৭,৭. পাটিগণিতে  কয়টি  প্রতীক  দ্বারা  সব  সংখ্যাই  প্রকাশ  করা  যায় ?,৫,১০,৫০,১০০,খ,১০,
৮,৮. ক্ষুদ্রতম  দুই  অঙ্কের  ৩  দ্বারা  বিভাজ্য  জোড়  সংখ্যা  কোনটি ?,২৪,১৮,১৫,১২,ঘ,১২,
