Serial,Type,Reference,Question,Option_ক,Option_খ,Option_গ,Option_ঘ,Answer_Label,Answer_Text,Explanation
১,জ্ঞানমূলক,"[ঢা.বো. ২০২১, কু.বো. ২০২৩]",সংখ্যায় ব্যবহৃত কোনো ${x}^{2}+xy+{y}^{2}$ অঙ্ক তার অবস্থানের জন্য যে সংখ্যা প্রকাশ করে তাকে কী বলে?,$\frac{{x}^{2}+xy+{y}^{2}{x}^{2}+xy}{{y}^{2}{x}^{2}+xy+{y}^{2}{x}^{2}+x}$,${m}^{2}+my+{y}^{2}{m}^{2}+my+{y}^{2}{m}^{2}+my+{y}^{2}{m}^{2}$,${p}^{2}+pq+{q}^{2}{m}^{2}+my+{y}^{2}{m}^{2}+my+{y}^{2}{m}^{2}$,$\frac{z}{e}+2z+5y-\frac{p}{e}{m}^{2}+my+{y}^{2}{m}^{2}+my+{y}^{2}$,ক,$\frac{{x}^{2}+xy+{y}^{2}{x}^{2}+xy}{{y}^{2}{x}^{2}+xy+{y}^{2}{x}^{2}+x}$,: বাংলা লেখা $equation$ normal text $equation$ নরমাল টেক্সট
২,সাধারণ,[পাঠ ১.১: অঙ্কপাতন],সাত অঙ্কবিশিষ্ট কোন সংখ্যার ডান দিক থেকে ২য় অঙ্কের স্থানীয় মান বাম দিক থেকে ২য় অঙ্কের স্থানীয় মানের কতগুণ যদি অঙ্কদ্বয় একই হয়?,$১০০০০০$ এবং সাধারণ লেখা $১০০০০০$,$১০০০০$ এবং সাধারণ লেখা $১০০০০$,$\frac{১}{১০০০}$ এবং সাধারণ লেখা $১০০০০০$,$\frac{১}{১০০০০}$ এবং সাধারণ লেখা $১০০০০০$,ঘ,$\frac{১}{১০০০০}$ এবং সাধারণ লেখা $১০০০০০$,বাংলা লেখা $equation$ normal text $equation$ নরমাল টেক্সট
৩,সাধারণ,[পাঠ ১.১: অঙ্কপাতন],৮৩০৫৬০৪০ সংখ্যাটিতে সার্থক অঙ্ক কয়টি?,৪,$৫$,৬,৭,খ,$৫$,। বাংলা লেখা $equation$ normal text $equation$ নরমাল টেক্সট
৪,সাধারণ,,৩৪৫ সংখ্যাটিতে ৫ এর স্থানীয়মান ও স্বকীয় মানের পার্থক্য কত?,${x}^{2}+xy+{y}^{2}$,${m}^{2}+my+{y}^{2}$,${p}^{2}+pq+{q}^{2}$,$\frac{z}{e}+2z+5y-\frac{p}{e}$,গ,${p}^{2}+pq+{q}^{2}$,বাংলা লেখা $equation$ normal text $equation$ নরমাল টেক্সট
৫,সাধারণ,[পাঠ ১.১: অঙ্কপাতন],কোনো অঙ্কের স্থান পরিবর্তনের ফলে স্বকীয় মান কীরূপ হয়?,পরিবর্তন হয়,বৃদ্ধি পায়,একই থাকে,হ্রাস পায়,গ,একই থাকে,বাংলা লেখা $equation$ normal text $equation$ নরমাল টেক্সট
৬,সাধারণ,,${x}^{2}+xy$ কতটি প্রতীক ${x}^{2}+xy$ ব্যবহার করা হয়?,২,৫,১০,১০০,গ,১০,
১৫,উদ্দীপকভিত্তিক,,৬৪৪০৫৬৩১ সংখ্যাটির- অযুত স্থানীয় অঙ্কের $\frac{equation}{eq}$ স্থানীয় মান শূন্য বাম দিক হতে তৃতীয় অঙ্কের $\frac{equation}{eq}$স্থানীয় মান ডান দিক হতে ৪র্থ অঙ্কের স্থানীয় $\frac{equation}{eq}$মানের ৮০ গুণ সংখ্যাটির অঙ্কগুলোতে ৬টি স্বাভাবিক $\frac{equation}{eq}$ সংখ্যা বিদ্যমান নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক,i ও ii,
১৬,উদ্দীপকভিত্তিক,,পাটিগণিতে দশটি প্রতীকের মধ্যে- স্বার্থক অঙ্ক নয়টি স্বাভাবিক সংখ্যা দশটি প্রতীকগুলোকে অঙ্ক বলা হয় নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",খ,i ও iii,
৭,সাধারণ,,পাটিগণিতে কয়টি প্রতীক দ্বারা সব সংখ্যাই প্রকাশ করা যায়?,$৫$,$১০$,$৫০$,$১০০$,খ,$১০$,
৮,সাধারণ,,ক্ষুদ্রতম দুই অঙ্কের ৩ দ্বারা বিভাজ্য জোড় সংখ্যা কোনটি?,২৪,১৮,১৫,১২,ঘ,১২,
৯,সাধারণ,,"১, ২, ৩, ৪, ৫, ৬, ৭, ৮, ৯, ০ প্রতীকগুলোর মধ্যে স্বাভাবিক সংখ্যা কয়টি?",১,৪,৯,১০,গ,৯,
১০,সাধারণ,,কত অপেক্ষা বড় সব সংখ্যাই দুই বা ততোধিক অঙ্ক পাশাপাশি বসিয়ে লেখা হয়?,০,২,৫,৯,ঘ,৯,
১১,সাধারণ,,শূন্য থেকে বড় পূর্ণসংখ্যাগুলোকে কি বলে?,অমূলদ সংখ্যা,স্বাভাবিক সংখ্যা,জোড় সংখ্যা,বিজোড় সংখ্যা,খ,স্বাভাবিক সংখ্যা,
১২,সাধারণ,,ছয় অঙ্কের ক্ষুদ্রতম সংখ্যা চার অভেকর ক্ষুদ্রতম সংখ্যার কতগুণ?,১০০,১০০০,৬০০,৪০০,ক,১০০,
১৩,সাধারণ,,দশমিক বা দশ গুণোত্তর রীতিতে কয়েকটি অঙ্ক পাশাপাশি বসিয়ে সংখ্যা লিখলে এর সর্বাপেক্ষা ডানদিকের অঙ্কটি কোন ধরনের মান প্রকাশ করে?,ঋণাত্মক মান,অস্বাভাবিক মান,স্বকীয় মান,শতগুণ,গ,স্বকীয় মান,
১৪,সাধারণ,,কোন সংখ্যার ব্যবহৃত অঙ্কগুলির মান কিসের উপর নির্ভর করে?,অঙ্কপাতন,বিভাজ্য,বিভাজ্যতা,অবস্থান,ঘ,অবস্থান,
১৫,উদ্দীপকভিত্তিক,,৬৪৪০৫৬৩১ সংখ্যাটির- অযুত স্থানীয় অঙ্কের স্থানীয় মান শূন্য বাম দিক হতে তৃতীয় অঙ্কের স্থানীয় মান ডান দিক হতে ৪র্থ অঙ্কের স্থানীয় মানের ৮০ গুণ সংখ্যাটির অঙ্কগুলোতে ৬টি স্বাভাবিক সংখ্যা বিদ্যমান নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক,i ও ii,
১৬,উদ্দীপকভিত্তিক,,পাটিগণিতে দশটি প্রতীকের মধ্যে- স্বার্থক অঙ্ক নয়টি স্বাভাবিক সংখ্যা দশটি প্রতীকগুলোকে অঙ্ক বলা হয় নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",খ,i ও iii,
০,উদ্দীপকভিত্তিক,,", ৫, ১, ৪, ৬, ৩ ও ৯ হলো সাতটি ${x}^{2}+2xy+{y}^{2}$ সংখ্যা প্রতীক। ১৭. প্রথম ৫টি প্রতীক হতে সার্থক অঙ্কগুলো দ্বারা গঠিত ক্ষুদ্রতম সংখ্যার শতক স্থানের অঙ্কের স্থানীয় মান কত?",৫,৫০,৪০০,৫৪১,গ,৪০০,
১৮,সাধারণ,,শেষ চারটি অভক নিয়ে গঠিত বৃহত্তম সংখ্যার হাজার স্থানের অঙ্কটির স্বকীয় মান কত?,৯০০০,৬০০০,৯,৬,গ,৯,
