Serial,Question,Option_ক,Option_খ,Option_গ,Option_ঘ,Answer_Label,Answer_Text,Explanation
১,কোন   শর্তে   𝑙𝑜𝑔_{𝑎}𝑎=1 ? [ দাখিল ২০১৮ ] [ টপিক :  সূচক  ও  লগের   শর্ত ],"𝑎>0, 𝑎≠1",𝑎≠1,𝑎>0,"𝑎≠0, 𝑎>1",a,"𝑎>0, 𝑎≠1",
২,".   𝑎^{𝑥}=𝑎^{𝑦}   হলে ,  𝑥=𝑦   হবে   কোন   শর্তে ?   [ সি .  বো .  ১৫ ] [ টপিক :  সূচক  ও  লগের   শর্ত ]",𝑎>0,"𝑎<0, 𝑎≠1",𝑎<0,"𝑎>0, 𝑎≠1",a,"𝑎>0, 𝑎≠1",
৩,".   কোন   শর্তে ,  𝑎^{𝑚}.𝑎^{𝑛}=𝑎^{𝑚+𝑛} ?   [ দাখিল ২০১৯ ] [ টপিক :  সূচক  ও  লগের   শর্ত ]","𝑎=0, 𝑏=0 এবং 𝑚, 𝑛∈𝑍","𝑎≠0, 𝑏=0 এবং 𝑚, 𝑛∈𝑍","𝑎=0, 𝑏≠0 এবং 𝑚, 𝑛∈𝑍","𝑎≠0, 𝑏≠0 এবং 𝑚, 𝑛∈𝑍",a,"𝑎≠0, 𝑏≠0 এবং 𝑚, 𝑛∈𝑍",
৪,".   sqrt(𝑎)   ঋনাত্মক   হবে ,  যদি   [ ব .  বো .  ১ ৫ ] [ টপিক :  সূচক  ও  লগের   শর্ত ]","𝑎>0, 𝑛∈𝑁, 𝑛>1 এবং 𝑛 জোড় সংখ্যা","𝑎<0, 𝑛∈𝑁, 𝑛>1 এবং 𝑛 বিজোড় সংখ্যা","sqrt(𝑎)>0, 𝑛∈𝑁, 𝑛<1 এবং 𝑛 জোড় সংখ্যা","sqrt(𝑎)<0, 𝑛∈𝑁, 𝑛<1 এবং 𝑛 বিজোড় সংখ্যা",a,"sqrt(𝑎)<0, 𝑛∈𝑁, 𝑛<1 এবং 𝑛 বিজোড় সংখ্যা",
৫,".   𝑥∈𝑅   হলে ,  sqrt(𝑥^{2})=   কত ?   [ দি .  বো .  ২৩ ] [ টপিক :  সূচক  ও  লগের   শর্ত ]",𝑥,-𝑥,𝑥,-𝑥,ক,𝑥,
৬,.   𝑓𝑥=2^{𝑥}   ফাংশনের   জন্য   যদি   𝑥→∞   হয়   তাহলে   নিচের   কোনটি   সঠিক ?   [ ব .  বো .  ১ ৭ ] [ টপিক :  সূচক  ও  লগের   শর্ত ],𝑓𝑥→0,𝑓𝑥→1,𝑓𝑥→-∞,𝑓𝑥→∞,ঘ,𝑓𝑥→∞,
৭,".   𝑔𝑥=3^{𝑥}   ফাংশনের   জন্য   𝑥→∞   হলে ,  নিচের   কোনটি   সঠিক ?   [ দি .  বো .  ২১ ] [ টপিক :  সূচক  ও  লগের   শর্ত ]",𝑔𝑥→∞,তারপর 𝑔𝑥→-∞,𝑔𝑥→0,𝑔𝑥→1,,তারপর 𝑔𝑥→∞,
৮,".   𝑎<0   এবং   𝑚∈𝑍, 𝑛∈𝑁, 𝑛>1   হলে   sqrt(𝑎)^{𝑚}=   কত ?   [ সি .  বো .  ২১ ] [ টপিক :  সূচকের   মান   নির্ণয় ]",sqrt(𝑎),sqrt(𝑛),sqrt(𝑎^{𝑚}) normal text,(1)/(𝑎^{𝑚𝑛}),গ,sqrt(𝑎^{𝑚}) normal text,
৯,".   𝑥∈𝑅   হলে ,  sqrt(𝑥^{2})=   কত ?",-𝑥,𝑥,±2𝑥,𝑥,খ,𝑥,
১০,০ .   𝑎^{-2}^{-1}   এর   মান   কোনটি ?   [ দাখিল ২০২০ ] [ টপিক :  সূচকের   মান   নির্ণয় ],𝑎^{2},𝑎,𝑎^{-2},𝑎^{-3},a,𝑎^{2},
