Serial,Question,Option_ক,Option_খ,Option_গ,Option_ঘ,Answer,Explanation
১,"১. সংখ্যায় ব্যবহৃত কোনো x2+xy+y2 অঙ্ক তার অবস্থানের জন্য যে সংখ্যা প্রকাশ করে তাকে কী বলে? [ঢা.বো. ২০২১, কু.বো. ২০২৩] [জ্ঞানমূলক]",x2+xy+y2x2+xyy2x2+xy+y2x2+x,m2+my+y2m2+my+y2m2+my+y2m2,p2+pq+q2m2+my+y2m2+my+y2m2,ze+2z+5y-pem2+my+y2m2+my+y2,ক. x2+xy+y2x2+xyy2x2+xy+y2x2+x,বাংলা লেখা equation normal text equation নরমাল টেক্সট
২,২। সাত অঙ্কবিশিষ্ট কোন সংখ্যার ডান দিক থেকে ২য় অঙ্কের স্থানীয় মান বাম দিক থেকে ২য় অঙ্কের স্থানীয় মানের কতগুণ যদি অঙ্কদ্বয় একই হয়? [পাঠ ১.১: অঙ্কপাতন],১০০০০০ এবং সাধারণ লেখা ১০০০০০,১০০০০ এবং সাধারণ লেখা ১০০০০,১১০০০ এবং সাধারণ লেখা ১০০০০০,১১০০০০ এবং সাধারণ লেখা ১০০০০০,ঘ. ১১০০০০ এবং সাধারণ লেখা ১০০০০০,বাংলা লেখা equation normal text equation নরমাল টেক্সট
৩,৩. ৮৩০৫৬০৪০ সংখ্যাটিতে সার্থক অঙ্ক কয়টি? [পাঠ ১.১: অঙ্কপাতন],৪,৫,৬,৭,খ. ৫,বাংলা লেখা equation normal text equation নরমাল টেক্সট
৪,৪. ৩৪৫ সংখ্যাটিতে ৫ এর স্থানীয়মান ও স্বকীয় মানের পার্থক্য কত?,x2+xy+y2,m2+my+y2,p2+pq+q2,ze+2z+5y-pe,গ. p2+pq+q2,বাংলা লেখা equation normal text equation নরমাল টেক্সট
৫,৫. কোনো অঙ্কের স্থান পরিবর্তনের ফলে স্বকীয় মান কীরূপ হয়? [পাঠ ১.১: অঙ্কপাতন],পরিবর্তন হয়,বৃদ্ধি পায়,একই থাকে,হ্রাস পায়,গ. একই থাকে,বাংলা লেখা equation normal text equation নরমাল টেক্সট
৬,৬. x2+xy কতটি প্রতীক x2+xy ব্যবহার করা হয়?,২,৫,১০,১০০,গ. ১০,
১৫,১৫। ৬৪৪০৫৬৩১ সংখ্যাটির-অযুত স্থানীয় অঙ্কের equationeq স্থানীয় মান শূন্যবাম দিক হতে তৃতীয় অঙ্কের equationeqস্থানীয় মান ডান দিক হতে ৪র্থ অঙ্কের স্থানীয় equationeq মানের ৮০ গুণসংখ্যাটির অঙ্কগুলোতে ৬টি স্বাভাবিক equationeq সংখ্যা বিদ্যমাননিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক. i ও ii,
১৬,১৬. পাটিগণিতে দশটি প্রতীকের মধ্যে-স্বার্থক অঙ্ক নয়টিস্বাভাবিক সংখ্যা দশটিপ্রতীকগুলোকে অঙ্ক বলা হয়নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",খ. i ও iii,
৭,৭. পাটিগণিতে কয়টি প্রতীক দ্বারা সব সংখ্যাই প্রকাশ করা যায়?,৫,১০,৫০,১০০,খ. ১০,
৮,৮. ক্ষুদ্রতম দুই অঙ্কের ৩ দ্বারা বিভাজ্য জোড় সংখ্যা কোনটি?,২৪,১৮,১৫,১২,ঘ. ১২,
৯,"৯. ১, ২, ৩, ৪, ৫, ৬, ৭, ৮, ৯, ০ প্রতীকগুলোর মধ্যে স্বাভাবিক সংখ্যা কয়টি?",১,৪,৯,১০,গ. ৯,
১০,১০. কত অপেক্ষা বড় সব সংখ্যাই দুই বা ততোধিক অঙ্ক পাশাপাশি বসিয়ে লেখা হয়?,০,২,৫,৯,ঘ. ৯,
১১,১১. শূন্য থেকে বড় পূর্ণসংখ্যাগুলোকে কি বলে?,অমূলদ সংখ্যা,স্বাভাবিক সংখ্যা,জোড় সংখ্যা,বিজোড় সংখ্যা,স্বাভাবিক সংখ্যা,
১২,১২. ছয় অঙ্কের ক্ষুদ্রতম সংখ্যা চার অভেকর ক্ষুদ্রতম সংখ্যার কতগুণ?,১০০,১০০০,৬০০,৪০০,১০০,
১৩,১৩. দশমিক বা দশ গুণোত্তর রীতিতে কয়েকটি অঙ্ক পাশাপাশি বসিয়ে সংখ্যা লিখলে এর সর্বাপেক্ষা ডানদিকের অঙ্কটি কোন ধরনের মান প্রকাশ করে?,ঋণাত্মক মান,অস্বাভাবিক মান,স্বকীয় মান,শতগুণ,স্বকীয় মান,
